brand,name,category,is_coffee,price
컴포즈커피,키위주스,에이드 · 주스,False,
컴포즈커피,오렌지당근주스,에이드 · 주스,False,
컴포즈커피,샤인머스캣케일주스,에이드 · 주스,False,
컴포즈커피,블루레몬 스페셜에이드,에이드 · 주스,False,
컴포즈커피,청포도 스페셜에이드,에이드 · 주스,False,
컴포즈커피,패션후르츠 스페셜에이드,에이드 · 주스,False,
컴포즈커피,자몽에이드,에이드 · 주스,False,
컴포즈커피,레몬에이드,에이드 · 주스,False,
컴포즈커피,망고에이드,에이드 · 주스,False,
컴포즈커피,유자에이드,에이드 · 주스,False,
컴포즈커피,디카페인 제로슈가 제로칼로리 아이스티,티,False,
컴포즈커피,빅포즈 디카페인 제로슈가 제로칼로리 아이스티,티,False,
컴포즈커피,빅포즈 제로슈가 제로칼로리 아이스티,티,False,
컴포즈커피,제로슈가 제로칼로리 아이스티,티,False,
컴포즈커피,빅포즈 디카페인 아이스티,티,False,
컴포즈커피,디카페인 아이스티,티,False,
컴포즈커피,빅포즈 아망추,티,False,
컴포즈커피,아망추,티,False,
컴포즈커피,빅포즈 아샷추,티,False,
컴포즈커피,아샷추,티,False,
컴포즈커피,ICE 빅포즈 아이스티,티,False,
컴포즈커피,HOT 아이스티,티,False,
컴포즈커피,ICE 아이스티,티,False,
컴포즈커피,HOT 자몽허니블랙티,티,False,
컴포즈커피,ICE 자몽허니블랙티,티,False,
컴포즈커피,HOT 페퍼민트,티,False,
컴포즈커피,ICE 페퍼민트,티,False,
컴포즈커피,HOT 캐모마일,티,False,
컴포즈커피,ICE 캐모마일,티,False,
컴포즈커피,HOT 로즈마리,티,False,
컴포즈커피,ICE 로즈마리,티,False,
컴포즈커피,HOT 얼그레이,티,False,
컴포즈커피,ICE 얼그레이,티,False,
컴포즈커피,HOT 블랙퍼스트,티,False,
컴포즈커피,ICE 블랙퍼스트,티,False,
컴포즈커피,HOT 자몽티,티,False,
컴포즈커피,ICE 자몽티,티,False,
컴포즈커피,HOT 레몬티,티,False,
컴포즈커피,ICE 레몬티,티,False,
컴포즈커피,HOT 유자티,티,False,
컴포즈커피,ICE 유자티,티,False,
