brand,name,temp,category,is_coffee,price
텐퍼센트커피,젤라또 4종,,신메뉴,False,
텐퍼센트커피,티 8종,,신메뉴,False,
텐퍼센트커피,제로라이트 8종,,신메뉴,False,
텐퍼센트커피,파르페 포함 8종,,신메뉴,False,
텐퍼센트커피,커피 6종,,신메뉴,False,
텐퍼센트커피,말차 6종,,신메뉴,False,
텐퍼센트커피,2026 디카페인,,신메뉴,False,
텐퍼센트커피,시그니처 라떼,,신메뉴,False,
텐퍼센트커피,2025 여름시즌,,신메뉴,False,
텐퍼센트커피,2025 과채주스,,신메뉴,False,
텐퍼센트커피,2025 4월시즌,,신메뉴,False,
텐퍼센트커피,2025 봄시즌 딸기,,신메뉴,False,
텐퍼센트커피,2024 겨울시즌,,신메뉴,False,
